uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF
"e3866ce0-1e8f-4f8d-bc67-bc5e5905f0bb","D19","HEAL","HEAL_025","HEAL_025.basePlot.bgc","2021-06-25T01:48Z","2021-06-25T01:48Z","2021-08-11","HEAL_025-O-6.5-16-20210624","A00000307386","HEAL_025-O-6.5-16-20210624-PH","NEON.DOC.014048vN","O",4.44,4.77,5.0,80.0,16.0,5.0,160.0,31.9,,"0000-0002-2117-4697",
"aed58f22-9907-469f-b4de-74087c3041b5","D19","HEAL","HEAL_025","HEAL_025.basePlot.bgc","2021-06-25T02:12Z","2021-06-25T02:12Z","2021-08-13","HEAL_025-M-6.5-16-20210624","A00000307389","HEAL_025-M-6.5-16-20210624-PH","NEON.DOC.014048vN","M",5.23,4.57,10.0,30.0,3.0,10.0,60.0,6.0,,"0000-0002-3309-2269",
"dd73bb0a-45f0-4389-ac5c-6949aa05702c","D19","HEAL","HEAL_025","HEAL_025.basePlot.bgc","2021-06-25T02:31Z","2021-06-25T02:31Z","2021-08-11","HEAL_025-O-8.5-37-20210624","A00000307385","HEAL_025-O-8.5-37-20210624-PH","NEON.DOC.014048vN","O",6.10,5.56,5.0,80.0,15.9,5.0,160.0,31.8,,"0000-0002-2117-4697",
"54ed88c8-0ed9-48bf-8a5c-064a4a49636b","D19","HEAL","HEAL_025","HEAL_025.basePlot.bgc","2021-06-25T02:45Z","2021-06-25T02:45Z","2021-08-13","HEAL_025-M-8.5-37-20210624","A00000307382","HEAL_025-M-8.5-37-20210624-PH","NEON.DOC.014048vN","M",5.72,4.85,10.0,30.0,3.0,10.0,60.0,6.0,,"0000-0002-3309-2269",
"b3f60e77-d591-47de-84d5-fca7bd4a79e7","D19","HEAL","HEAL_025","HEAL_025.basePlot.bgc","2021-06-25T02:59Z","2021-06-25T02:59Z","2021-08-13","HEAL_025-M-38-26-20210624","A00000307390","HEAL_025-M-38-26-20210624-PH","NEON.DOC.014048vN","M",5.76,4.98,10.0,30.0,3.0,10.0,60.0,6.0,,"0000-0002-3309-2269",
"66d8c9a9-e0cb-426c-bc21-4e397908d3d7","D19","HEAL","HEAL_025","HEAL_025.basePlot.bgc","2021-06-25T02:59Z","2021-06-25T02:59Z","2021-08-11","HEAL_025-O-38-26-20210624","A00000307387","HEAL_025-O-38-26-20210624-PH","NEON.DOC.014048vN","O",5.95,5.60,5.0,100.0,20.0,5.0,200.0,40.0,,"0000-0002-2117-4697",
"ee7bc78c-1af5-4346-bfdf-c350f987491b","D19","HEAL","HEAL_011","HEAL_011.basePlot.bgc","2021-06-25T20:04Z","2021-06-25T20:04Z","2021-08-13","HEAL_011-M-34.5-38-20210625","A00000307368","HEAL_011-M-34.5-38-20210625-PH","NEON.DOC.014048vN","M",5.35,4.59,10.0,40.0,4.0,10.0,80.0,8.0,,"0000-0002-3309-2269",
"51dc4f1b-1681-486a-b55e-c6c6476eebc6","D19","HEAL","HEAL_011","HEAL_011.basePlot.bgc","2021-06-25T20:04Z","2021-06-25T20:04Z","2021-08-11","HEAL_011-O-34.5-38-20210625","A00000307372","HEAL_011-O-34.5-38-20210625-PH","NEON.DOC.014048vN","O",5.00,4.12,2.0,100.0,50.0,2.0,200.0,100.0,,"0000-0002-2117-4697",
"e59513b2-e20f-4cfe-b2f0-4346f76a8f48","D19","HEAL","HEAL_011","HEAL_011.basePlot.bgc","2021-06-25T20:31Z","2021-06-25T20:31Z","2021-08-11","HEAL_011-O-2.5-12.5-20210625","A00000307370","HEAL_011-O-2.5-12.5-20210625-PH","NEON.DOC.014048vN","O",5.16,4.89,5.0,80.0,16.0,5.0,160.0,32.1,,"0000-0002-2117-4697",
"fd92ec4d-eb22-4320-9f05-bb1507a14808","D19","HEAL","HEAL_011","HEAL_011.basePlot.bgc","2021-06-25T20:48Z","2021-06-25T20:48Z","2021-08-13","HEAL_011-M-2.5-12.5-20210625","A00000307367","HEAL_011-M-2.5-12.5-20210625-PH","NEON.DOC.014048vN","M",5.50,5.17,10.0,90.0,9.0,10.0,180.0,18.0,,"0000-0002-3309-2269",
"f9be1521-7d49-41fb-87a3-bddb42e27fcd","D19","HEAL","HEAL_011","HEAL_011.basePlot.bgc","2021-06-25T21:23Z","2021-06-25T21:23Z","2021-08-11","HEAL_011-O-31-19.5-20210625","A00000307371","HEAL_011-O-31-19.5-20210625-PH","NEON.DOC.014048vN","O",4.92,5.60,5.0,80.0,16.0,5.0,160.0,32.1,,"0000-0002-2117-4697",
"1f2a7c01-847d-4c6f-80c9-d0c7bc0207fa","D19","HEAL","HEAL_011","HEAL_011.basePlot.bgc","2021-06-25T21:23Z","2021-06-25T21:23Z","2021-08-13","HEAL_011-M-31-19.5-20210625","A00000307369","HEAL_011-M-31-19.5-20210625-PH","NEON.DOC.014048vN","M",6.23,5.43,10.0,20.0,2.0,10.0,40.0,4.0,,"0000-0002-3309-2269",
"8402601d-436f-4e85-8ed0-0f937515043d","D19","HEAL","HEAL_010","HEAL_010.basePlot.bgc","2021-06-25T23:25Z","2021-06-25T23:25Z","2021-08-13","HEAL_010-M-10.5-4.5-20210625","A00000307375","HEAL_010-M-10.5-4.5-20210625-PH","NEON.DOC.014048vN","M",6.38,6.01,10.0,20.0,2.0,10.0,40.0,4.0,,"0000-0002-3309-2269",
"b46e5fea-e71a-46bb-8caa-9a71eafbc935","D19","HEAL","HEAL_010","HEAL_010.basePlot.bgc","2021-06-25T23:25Z","2021-06-25T23:25Z","2021-08-11","HEAL_010-O-10.5-4.5-20210625","A00000307376","HEAL_010-O-10.5-4.5-20210625-PH","NEON.DOC.014048vN","O",5.48,5.24,5.0,100.0,20.0,5.0,200.0,40.0,,"0000-0002-2117-4697",
"f1f429d0-2302-48cb-849f-92786647fbe9","D19","HEAL","HEAL_010","HEAL_010.basePlot.bgc","2021-06-25T23:53Z","2021-06-25T23:53Z","2021-08-13","HEAL_010-M-9.5-29-20210625","A00000307374","HEAL_010-M-9.5-29-20210625-PH","NEON.DOC.014048vN","M",6.19,5.67,10.0,20.0,2.0,10.0,40.0,4.0,,"0000-0002-3309-2269",
"2cddd566-79a5-4380-a07c-029db6c6aaad","D19","HEAL","HEAL_010","HEAL_010.basePlot.bgc","2021-06-25T23:53Z","2021-06-25T23:53Z","2021-08-11","HEAL_010-O-9.5-29-20210625","A00000307377","HEAL_010-O-9.5-29-20210625-PH","NEON.DOC.014048vN","O",6.57,6.29,5.0,60.0,12.0,5.0,120.0,24.0,,"0000-0002-2117-4697",
"06e87ff4-552d-4d2d-ba6e-1db922d084e7","D19","HEAL","HEAL_010","HEAL_010.basePlot.bgc","2021-06-26T00:23Z","2021-06-26T00:23Z","2021-08-13","HEAL_010-M-31.5-27.5-20210625","A00000307373","HEAL_010-M-31.5-27.5-20210625-PH","NEON.DOC.014048vN","M",7.12,6.28,10.0,20.0,2.0,10.0,40.0,4.0,,"0000-0002-3309-2269",
"295a78a7-8b32-4809-8e38-107e343aa0eb","D19","HEAL","HEAL_010","HEAL_010.basePlot.bgc","2021-06-26T00:23Z","2021-06-26T00:23Z","2021-08-11","HEAL_010-O-31.5-27.5-20210625","A00000307378","HEAL_010-O-31.5-27.5-20210625-PH","NEON.DOC.014048vN","O",6.57,6.29,5.0,60.0,11.9,5.0,120.0,23.9,,"0000-0002-2117-4697",
